date,app_name,input,cluster,total_time,ru_stime,rs_stime,maxrss,ixrss,idrss,minflt,majflt,nswap,inblock,oublock,msgsnd,msgrcv,nsignals,nvcsw,nivcsw,rxBytes,txBytes,rxPackets,txPackets,pi_5,pi_10,pi_15,total_pi
06-15-21-07:15:5,minivite,A,n1-highcpu-8-2,9.776518,4.811940,0.143165,17856,0,0,1815,25,0,1488,0,0,0,0,2391,1278,60879,46304,405,360,5.354146,9.702183,0,10
06-15-21-07:15:5,ember,A,n1-highcpu-8-2,53.693191,0.054663,0.100143,110376,0,0,8249,1,0,56,0,0,0,0,2272,33,66,74,1,1,0.586868,0.948045,1.642391,1000
06-15-21-07:15:5,sw4lite,A,n1-highcpu-8-2,21.555537,2.169757,0.274703,131196,0,0,7524,9,0,1440,0,0,0,0,2456,46634,27352452,28636428,1180,1350,2.809244,4.895450,6.981305,50
06-15-21-07:15:5,ember,B,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,macsio,B,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,macsio,A,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,laghos,A,n1-highcpu-8-2,105.670085,0.330742,0.382545,23960,0,0,2083,0,0,0,0,0,0,0,2172,76,4026929,3831252,34873,32119,0.668009,1.284893,1.905935,876
06-15-21-07:15:5,miniqmc,C,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,swfft,A,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,picsar,A,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,macsio,C,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,picsar,B,n1-highcpu-8-2,1.255846,0.068373,0.033773,23728,0,0,5854,0,0,8,0,0,0,0,2233,143,14632,924,40,13,0.554101,0.587272,0.620586,101
06-15-21-07:15:5,laghos,B,n1-highcpu-8-2,192.865148,0.682440,0.403810,26988,0,0,2867,0,0,0,0,0,0,0,2150,140,8221396,8051538,39906,37543,1.046273,2.056324,3.105391,1001
06-15-21-07:15:5,miniamr,A,n1-highcpu-8-2,283.516448,0.461774,0.278656,360796,0,0,87684,3,0,832,0,0,0,0,2270,73,11065709,11069010,8104,7915,1.165344,1.309698,1.457271,10000
06-15-21-07:15:5,nekbone,A,n1-highcpu-8-2,82.917690,0.402280,0.390211,34380,0,0,2167,11,0,1200,0,0,0,0,2283,241,28263823,28224514,42840,42135,1.227084,2.272458,3.684586,100
06-15-21-07:15:5,examinimd,B,n1-highcpu-8-2,20.691132,0.230060,0.063465,24256,0,0,3978,0,0,0,0,0,0,0,2276,38,2431741,2417790,222,217,0.718652,0.827503,0.905943,1000
06-15-21-07:15:5,miniqmc,A,n1-highcpu-8-2,230.533164,14.965855,10.503614,244696,0,0,6633,14,0,1312,0,0,0,0,5993,7764980,26858,19459,126,127,25.081881,36.679995,48.036341,100
06-15-21-07:15:5,swfft,B,n1-highcpu-8-2,45.129197,0.222228,0.184491,21448,0,0,2661,3,0,296,0,0,0,0,2228,263,64761634,64753454,8913,8919,0.848163,1.073702,1.306486,1000
06-15-21-07:15:5,laghos,C,n1-highcpu-8-2,233.260176,0.903432,0.399748,27736,0,0,3691,0,0,0,0,0,0,0,2206,183,7296817,7112136,37148,34470,1.268610,2.495913,3.719673,1001
06-15-21-07:15:5,amg,A,n1-highcpu-8-2,138.809466,0.457643,0.722595,20856,0,0,2524,0,0,0,0,0,0,0,2222,295,28969100,28677130,195501,189193,1.610324,2.796266,4.422547,1006
06-15-21-07:15:5,swfft,C,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,examinimd,C,n1-highcpu-8-2,94.235149,1.069068,0.064064,51772,0,0,6599,0,0,0,0,0,0,0,2252,89,6088488,5601876,469,498,1.558523,1.987047,2.331664,1000
06-15-21-07:15:5,miniqmc,B,n1-highcpu-8-2,1305.323246,52.409946,43.006916,637832,0,0,39187,0,0,0,0,0,0,0,8703,25609263,126624,173288,556,668,97.830160,158.896008,223.282224,100
06-15-21-07:15:5,examinimd,A,n1-highcpu-8-2,3.271746,0.085840,0.033538,17776,0,0,2204,32,0,2576,0,0,0,0,2465,47,674974,657536,128,96,0.591403,0.605187,0.616815,1000
06-15-21-07:15:5,ember,C,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:59:1,minivite,A,n1-highcpu-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:59:1,macsio,C,n1-highcpu-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:59:1,miniqmc,C,n1-highcpu-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:59:1,examinimd,C,n1-highcpu-32-2,26.657704,0.344218,0.063368,27816,0,0,3934,0,0,0,0,0,0,0,3027,148,7489232,7428582,891,927,0.896652,1.008859,1.107221,1000
06-15-21-07:59:1,amg,A,n1-highcpu-32-2,215.162299,0.484112,1.608373,24384,0,0,3032,0,0,0,0,0,0,0,3257,353,108239028,107035536,854967,831588,2.601166,5.590286,11.686179,1006
06-15-21-07:59:1,miniqmc,B,n1-highcpu-32-2,3791.232846,205.542182,207.362813,699040,0,0,45564,0,0,0,0,0,0,0,251975,120607748,352447,614544,2233,3087,435.371983,609.336613,777.420879,100
06-15-21-07:59:1,miniqmc,A,n1-highcpu-32-2,778.046397,65.166536,66.652435,349648,0,0,7278,15,0,1608,0,0,0,0,88111,44121430,175179,144136,719,895,125.539055,166.526162,197.645630,100
06-15-21-07:59:1,ember,B,n1-highcpu-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:59:1,swfft,B,n1-highcpu-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:59:1,picsar,B,n1-highcpu-32-2,1.355064,0.102529,0.072150,21224,0,0,2645,0,0,8,0,0,0,0,3017,300,11656043,11579222,6828,6664,0.753912,0.798965,0.843601,101
06-15-21-07:59:1,ember,A,n1-highcpu-32-2,17.327647,0.091590,0.812363,108788,0,0,8331,1,0,56,0,0,0,0,3123,104,14167205,14119948,546,367,1.404103,1.480504,1.555606,1000
06-15-21-07:59:1,macsio,B,n1-highcpu-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:59:1,swfft,C,n1-highcpu-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:59:1,sw4lite,A,n1-highcpu-32-2,8.043342,0.777316,0.409331,58712,0,0,7217,14,0,1984,0,0,0,0,3870,105731,31885570,31265674,1589,1663,1.807082,2.508527,3.177338,50
06-15-21-07:59:1,miniamr,A,n1-highcpu-32-2,440.669805,0.487833,0.351879,359400,0,0,87789,3,0,888,0,0,0,0,3088,116,44137259,44033514,32159,29479,1.340784,1.570422,1.797241,10000
06-15-21-07:59:1,swfft,A,n1-highcpu-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:59:1,ember,C,n1-highcpu-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:59:1,laghos,B,n1-highcpu-32-2,168.695184,0.403932,0.563905,23232,0,0,2401,0,0,0,0,0,0,0,3073,246,20579582,20403908,156876,155028,0.918321,1.798050,2.669194,1001
06-15-21-07:59:1,macsio,A,n1-highcpu-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:59:1,examinimd,B,n1-highcpu-32-2,8.207608,0.153139,0.037250,19192,0,0,2712,0,0,0,0,0,0,0,2939,116,3185793,3008288,448,402,0.675047,0.715417,0.749975,1000
06-15-21-07:59:1,examinimd,A,n1-highcpu-32-2,3.181849,0.067065,0.062594,17424,0,0,2081,26,0,2384,0,0,0,0,3032,98,1146235,1048022,432,300,0.621422,0.631136,0.643125,1000
06-15-21-07:59:1,nekbone,A,n1-highcpu-32-2,144.068958,0.768389,0.784481,34088,0,0,2784,11,0,2080,0,0,0,0,3262,255,85531550,84525498,189643,175079,2.088323,4.142941,6.822699,100
06-15-21-07:59:1,laghos,A,n1-highcpu-32-2,144.346923,0.365714,0.574694,20816,0,0,2073,0,0,0,0,0,0,0,3099,274,24640011,24504420,218495,217251,0.889698,1.744915,2.588810,876
06-15-21-07:59:1,laghos,C,n1-highcpu-32-2,166.588636,0.593752,0.409207,23680,0,0,2766,0,0,0,0,0,0,0,3045,171,15048504,14378058,119722,110376,0.951996,1.844838,2.708940,1001
06-15-21-07:59:1,picsar,A,n1-highcpu-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
