name,mem,net,cpu,speed1_out,speed8_out,speed32_out,speed1_in,speed8_in,speed32_in,speed256
minivite-A,9359.2,13529.0,0.7651198563822663,1.0,0.8951240815498207,-1,1.0,0.09837630262486372,-1,-1
ember-A,106236.66666666667,21512031.666666668,0.19066987120231713,1.0,0.4083355979112926,0.43352984989165105,1.0,0.8586889437101405,0.632048487797807,0.7318367438689035
ember-B,223881.33333333334,52290612.16666667,0.22429860467742682,1.0,0.30877844978276475,0.27495909735756996,1.0,0.7214234328754886,0.41467921021101245,0.6614933538836847
ember-C,598501.3333333334,134396886.0,0.27460682039060913,1.0,0.16886873880524556,0.18855552341212833,1.0,0.5885980367480493,0.2525015010830415,0.6225220833835466
sw4lite-A,425414.4,12789696.0,0.857922493559463,1.0,5.7310050359471125,13.968740471751904,1.0,3.7877822735397,6.759391566590405,-1
macsio-A,32432.666666666668,55715.5,0.7370775955988645,1.0,0.5733052790149332,0.5415812057033785,1.0,0.3431204895054594,0.3409572499756549,0.3116065193969449
macsio-B,42802.666666666664,78199.33333333334,0.7382675262068128,1.0,0.567605347765165,0.5654954579739249,1.0,0.3549758283091392,0.34317251853306263,0.3172151376541425
macsio-C,172767.33333333334,313533.8333333333,0.5611365125488511,1.0,0.5750357999895428,0.5721751924473047,1.0,0.21981474877105883,0.18200781872925278,0.3345825948431318
laghos-A,17924.666666666668,2475483.8333333335,0.5128506338334503,1.0,0.6435907053827975,0.366146490396719,1.0,3.94063872105678,5.185901108235713,-1
laghos-B,31545.333333333332,23367350.333333336,0.6480584049725072,1.0,2.635590342863835,2.023717690598886,1.0,4.6990391471692465,12.335421198321894,1.5776386452403932
laghos-C,41152.666666666664,17744610.666666664,0.7775062079053247,1.0,3.7779201869338146,3.8863562571716095,1.0,4.912045157911363,14.69544249018158,3.2965136006548885
miniqmc-A,254840.8,70420.4,0.5168401089869573,1.0,1.0733326535972882,1.0615466279997796,1.0,0.09957859289757234,0.01959695199908667,-1
miniqmc-B,644560.0,316161.8,0.5308306018176028,1.0,1.0177517065005723,1.0484405395412817,1.0,0.16053704921397455,0.033556827210312015,-1
miniqmc-C,1510356.0,1591667.4,0.561238788252707,1.0,1.2158256998023655,1.2378220371379487,1.0,0.33054431911536214,0.08603001843105866,-1
swfft-A,4588.0,3693.6000000000004,0.24107184765772355,1.0,-1,-1,1.0,-1,-1,-1
swfft-B,24518.4,16110999.0,0.5171050279902163,1.0,1.5399690305569318,-1,1.0,1.9816267575014737,-1,-1
swfft-C,45191.2,3672.7999999999997,0.8848020836239849,1.0,-1,-1,1.0,-1,-1,-1
picsar-A,152975.33333333334,5206650.5,0.41535490239558226,1.0,2.047577963243987,2.592012781682551,1.0,1.9127528059026235,-1,-1
picsar-B,358661.3333333333,7750044.0,0.49765791111790947,1.0,2.68481067928556,3.5880018652792893,1.0,2.38911175831803,2.289199737164913,-1
picsar-C,970760.0,12886060.5,0.5714187552154532,1.0,3.5035616920235686,5.96529623638437,1.0,3.352411628630418,3.011730788833608,-1
miniamr-A,297316.6666666667,5394390.666666667,0.19959128310653643,1.0,0.5870747118182903,0.5734684946575029,1.0,0.6901217395978746,0.23556930469523882,-1
nekbone-A,31608.0,11544543.600000001,0.3014577101278297,1.0,0.3947234019289643,0.2457798612218426,1.0,0.7663115352764314,0.664764288431392,-1
examinimd-A,17626.0,579068.5,0.15273697201784248,1.0,1.102974650895173,1.0163409935895837,1.0,1.2156656541238589,1.1592345941601219,0.9485730506839243
examinimd-B,40195.333333333336,1603848.0,0.5018616860091897,1.0,2.963859260771795,3.4946549526989,1.0,2.6941126678307583,3.705694010361616,3.4326037412993475
examinimd-C,134750.0,3640264.0,0.7960817511825545,1.0,5.3576882698501835,10.062389207307149,1.0,3.8931424180615584,8.720362679190549,12.612101439387363
amg-A,18157.333333333332,59604628.66666667,0.13107393019421643,1.0,0.3949598669462723,0.21800693627590872,1.0,0.9203887879696815,0.6343242847752416,0.042655701040382375
lammps-A,44900.666666666664,5144654.333333334,0.35727329344036735,1.0,2.690960057571566,2.92351231684494,1.0,2.7461501504538903,-1,0.64051258525843
