name,mem,net,cpu,speed1_out,speed8_out,speed32_out,speed1_in,speed8_in,speed32_in,speed256
lammps-A,44900.666666666664,5144654.333333334,0.35727329344036735,1.0,2.690960057571566,2.92351231684494,1.0,2.7461501504538903,-1,0.64051258525843
lammps-B,23247.333333333332,3630093.5,0.4061970360099221,1.0,1.9706208904050484,2.158669842710224,1.0,1.9624923374830276,-1,1.9160057275178146
lammps-C,48283.333333333336,5260751.166666666,0.46167590987868284,1.0,2.4040867204982685,2.52513200087226,1.0,2.249161773696411,-1,0.8229973117770613
Quicksilver-A,18089.333333333332,148443.0,0.7486638535640557,1.0,2.8229586926342796,5.367583580690191,1.0,2.1047480367511655,-1,-1
Quicksilver-B,47396.666666666664,452068.8333333333,0.8481731030524228,1.0,3.2097587034435744,7.950449060643935,1.0,2.2313936277211104,-1,-1
Quicksilver-C,83424.66666666667,911840.1666666667,0.8651378347687104,1.0,3.220122359170779,8.491887094462122,1.0,2.2154590436613493,-1,-1
kripke-A,71804.0,7521227.333333334,0.7018495172033579,1.0,4.568534926215112,6.629373166004353,1.0,3.6451630668565924,-1,6.914224730584738
kripke-B,188547.33333333334,13589.0,0.9670930473509792,1.0,-1,-1,1.0,-1,-1,-1
kripke-C,575496.6666666666,78897.5,0.9599443551906862,1.0,-1,-1,1.0,-1,-1,-1
LULESH-A,16316.0,284902.8333333333,0.3183020759884066,1.0,0.9454254308253462,-1,1.0,0.8158841722807563,-1,-1
LULESH-B,80946.66666666667,1091002.6666666667,0.6996323615345317,1.0,0.9772820033174197,-1,1.0,0.6514634671174643,-1,-1
LULESH-C,594498.0,4288128.166666666,0.8238356082917377,1.0,0.9008206402215525,-1,1.0,0.6372946613504457,-1,-1
examl-A,12428.0,3986729.5,0.4153307251844748,1.0,0.15005505512145292,0.08902135536607288,1.0,2.316593618154262,-1,0.05161912741723644
examl-B,32436.666666666668,10386667.333333332,0.6466626854398414,1.0,2.549354404488239,1.916315605706149,1.0,4.337605959576225,-1,1.3142224924420762
EP-A,15040.0,234580.16666666666,0.10130860978318607,1.0,0.9120279594227862,0.7403648081578635,1.0,0.8265466518554014,0.8253780958181081,0.7340455027580849
EP-B,15512.0,178632.16666666666,0.11908771219591346,1.0,0.9027240242608098,0.8275482164599941,1.0,0.9118790952001671,0.8368993655358163,0.7634795416404359
EP-C,12956.666666666666,231226.6666666667,0.10230326223572889,-1,1.0,0.9063182060397246,-1,1.0,0.9177241058104498,1.0
BT-A,446038.6666666667,50792374.166666664,0.9134049871184566,1.0,3.3654253651046635,13.812822705882212,1.0,2.354885656851958,11.422367425286302,17.133036570007366
BT-B,1442770.6666666667,237193261.6666667,0.9603275454572194,-1,-1,1.0,-1,1.0,5.545966026279676,1.0
BT-C,280126.0,1185811421.8333335,0.8142698625446576,-1,-1,-1,-1,-1,-1,1.0
FT-A,401358.6666666667,570868219.0,0.6416479324923947,-1,1.0,3.893484646599994,-1,1.0,2.837611180983566,1.0
FT-B,695406.6666666666,2696243028.5,0.8280119187686353,-1,-1,-1,-1,-1,1.0,1.0
FT-C,616081.3333333334,21769547374.0,0.4475229699595906,-1,-1,-1,-1,-1,-1,1.0
IS-A,360910.6666666667,144385436.3333333,0.7785834780564396,1.0,4.435599931465833,11.518049731326714,1.0,6.105496046220749,16.673388897816434,5.50687670245923
IS-B,1351956.6666666667,2292356568.166667,0.744002759144685,-1,1.0,3.74125563289352,-1,1.0,3.299979792310354,1.0
IS-C,373349.3333333333,10892883310.5,0.5732859393780833,-1,-1,-1,-1,-1,-1,1.0
MG-A,788495.3333333334,39085950.333333336,0.7822944663213196,1.0,6.56662356108768,14.73257798112771,1.0,4.710155562289507,8.072458436213992,4.520394122680213
MG-B,1499825.3333333333,155669423.0,0.8552972701722772,-1,1.0,3.3561845267580313,-1,1.0,1.889182601749581,1.0
MG-C,152514.66666666666,228845387.5,0.6101397455447904,-1,-1,-1,-1,-1,-1,1.0
CG-A,260078.0,75907457.0,0.8327492157337222,1.0,9.144877112677971,15.47454165785092,1.0,7.190382106379006,13.760946280133656,5.334242111872207
CG-B,1187410.6666666667,757711862.0,0.8929093094231056,-1,1.0,3.21278531562449,-1,1.0,2.884243790854415,1.0
CG-C,221690.0,2354313785.166667,0.7768955101433905,-1,-1,-1,-1,-1,-1,1.0
LU-A,173096.66666666666,9564145.833333332,0.8505299024659124,1.0,5.678568264873249,13.232290781843991,1.0,4.215111089309026,9.661096196319459,11.164333252703964
LU-B,724040.8,36270666.4,0.9383025381426068,-1,1.0,3.4141777605124086,-1,1.0,3.0241451518693534,-1
LU-C,125524.66666666667,170609866.33333334,0.6977839548881463,-1,-1,-1,-1,-1,-1,1.0
SP-A,373790.0,44712017.83333333,0.943626894647552,1.0,3.3225032938995698,20.063066251515036,1.0,2.454775075659837,10.656507335471275,17.371707878230712
SP-B,1196754.6666666667,220918513.3333333,0.9095742663334957,-1,-1,1.0,-1,1.0,4.974333926247696,1.0
SP-C,235120.0,1089479618.1666665,0.7262947346232154,-1,-1,-1,-1,-1,-1,1.0
