name,mem,net,cpu,speed1_out,speed8_out,speed32_out,speed1_in,speed8_in,speed32_in,speed256
minivite-A,9359.2,13529.0,0.41517569690399847,1.0,0.8786241566549703,-1.0,1.0,0.040462677759617705,-1.0,-1
ember-A,106236.66666666667,21512031.666666668,0.0037678785904311407,1.0,0.007916335053665725,0.005408725448822219,1.0,0.08883566966414067,0.047348080337085784,0.043746651740989226
ember-B,223881.33333333334,52290612.16666667,0.001998283128541916,1.0,0.002437197002351894,0.0023743844719854583,1.0,0.034539096907236666,0.017009028642474347,0.014717979102888298
ember-C,598501.3333333334,134396886.0,0.0009008702031406639,1.0,0.000645058832219214,0.0006129758835290551,1.0,0.011440831655511097,0.005274796936889079,0.004562970730389648
sw4lite-A,425414.4,12789696.0,0.10010825884349407,1.0,6.298267481456196,21.601027507733928,1.0,4.175171196234099,12.121372007980428,-1
macsio-A,32432.666666666668,55715.5,0.086430459040615,1.0,0.5370975715979958,0.25290427832308565,1.0,0.2998860192828601,0.14873236683946883,0.01984332224529759
macsio-B,42802.666666666664,78199.33333333334,0.07914118655629633,1.0,0.5668313030260668,0.2701373609462747,1.0,0.3321940422035821,0.10157637014023695,0.021191446112880447
macsio-C,172767.33333333334,313533.8333333333,0.06193212058556392,1.0,0.5625156989099915,0.2820076603962759,1.0,0.18262600697699868,0.05999472787713822,0.019137456990620347
laghos-A,17924.666666666668,2475483.8333333335,0.0029649784799893257,1.0,0.5564845540715255,0.31035731005430295,1.0,3.8587053470438026,5.5967079076158015,-1.0
laghos-B,31545.333333333332,23367350.333333336,0.003483960214304333,1.0,2.497013778215605,1.9208022578351205,1.0,4.639348874667977,12.803961517707506,1.4840412920021129
laghos-C,41152.666666666664,17744610.666666664,0.004143603986527934,1.0,3.5624187446965574,3.4969672826723315,1.0,4.815948494262256,14.661708094659668,3.0630514548164847
miniqmc-A,254840.8,70420.4,0.08190581425044768,1.0,1.036802538986856,1.0180182922538474,1.0,0.13551925984896881,0.039350936051329125,-1
miniqmc-B,644560.0,316161.8,0.05017374875452553,1.0,1.0050918693707156,1.031088127509673,1.0,0.17705135432396166,0.05771938675394191,-1
miniqmc-C,1510356.0,1591667.4,0.03818631840316341,1.0,1.2707918817483763,1.2512704980744742,1.0,0.346301486861344,0.12322333979613273,-1
swfft-A,4588.0,3693.6000000000004,0.009799549907023279,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1
swfft-B,24518.4,16110999.0,0.0056665417646310475,1.0,3.178371863753426,-1.0,1.0,4.789692491620356,-1.0,-1
swfft-C,45191.2,3672.7999999999997,0.005085971692514864,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1
picsar-A,152975.33333333334,5206650.5,0.03989518155316259,1.0,3.0609775060184363,4.853154388276174,1.0,2.612728683443573,-1.0,-1.0
picsar-B,358661.3333333333,7750044.0,0.03761927451149523,1.0,3.4027898086536186,5.358954351495224,1.0,2.963548282149787,2.9815465450262884,-1.0
picsar-C,970760.0,12886060.5,0.03659700526405882,1.0,4.053543212151532,6.999847726467675,1.0,3.6397854068889113,3.3176039888697604,-1.0
miniamr-A,297316.6666666667,5394390.666666667,0.001178457636973473,1.0,0.0673551741624025,0.03937965211654042,1.0,0.32758052117064906,0.24246853060527226,-1.0
nekbone-A,31608.0,11544543.600000001,0.0050201959342292,1.0,0.5552130846010245,0.42755613877574644,1.0,0.5260078807078643,0.3107013633615126,-1
examinimd-A,17626.0,579068.5,0.013399508274691923,1.0,4.141668023455718,3.1090696986529243,1.0,4.341358486306876,8.212176955260949,1.8208346263766193
examinimd-B,40195.333333333336,1603848.0,0.010264652768712652,1.0,6.946914201544872,17.43394747792422,1.0,5.376608295797616,18.124815463141864,16.770693516756936
examinimd-C,134750.0,3640264.0,0.00940537897737212,1.0,7.570291711777697,25.800140201697726,1.0,5.450920349527946,20.018471419948174,60.36457474107748
amg-A,18157.333333333332,59604628.66666667,0.0014377950816784944,1.0,0.04800321572558968,0.023182737741584414,1.0,0.38268247851675263,0.2135034314192416,0.006647332206550092
lammps-A,44900.666666666664,5144654.333333334,0.0651190453703883,1.0,5.835530772045033,11.817997812371422,1.0,4.794810330873677,-1.0,4.633532838816864
lammps-B,23247.333333333332,3630093.5,0.05981462638455225,1.0,4.997911998705737,9.340612900722713,1.0,4.0610996650724935,-1.0,9.578967674025893
lammps-C,48283.333333333336,5260751.166666666,0.009023260803395966,1.0,5.853798381132247,12.573429311738193,1.0,4.685027902522137,-1.0,9.260848933311992
Quicksilver-A,18089.333333333332,148443.0,0.046367389418608226,1.0,3.2307230787808146,7.317346774203059,1.0,2.264551078698759,-1.0,-1.0
Quicksilver-B,47396.666666666664,452068.8333333333,0.04611027965672763,1.0,3.306013312176604,8.760948931961613,1.0,2.267284805186106,-1.0,-1.0
Quicksilver-C,83424.66666666667,911840.1666666667,0.04618733788341788,1.0,3.299519425021298,8.998796259748303,1.0,2.262132394129607,-1.0,-1.0
kripke-A,71804.0,7521227.333333334,0.04988406898552492,1.0,7.684346805210978,19.940306805173545,1.0,5.076795019764888,-1.0,41.24483288125454
kripke-B,188547.33333333334,13589.0,0.05054108950658417,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
kripke-C,575496.6666666666,78897.5,0.04600410910755617,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
LULESH-A,16316.0,284902.8333333333,0.005150488722518077,1.0,0.8466131724600114,-1.0,1.0,0.5538915691910465,-1.0,-1.0
LULESH-B,80946.66666666667,1091002.6666666667,0.004766132791909961,1.0,0.9656628133562145,-1.0,1.0,0.5879795268842618,-1.0,-1.0
LULESH-C,594498.0,4288128.166666666,0.004392067704333577,1.0,0.8959498147875838,-1.0,1.0,0.6287639170015704,-1.0,-1.0
examl-A,12428.0,3986729.5,0.00120441815367287,1.0,0.19639497828300828,0.11979001272330593,1.0,2.689938741674077,-1.0,0.07662307988274433
examl-B,32436.666666666668,10386667.333333332,0.0007263647477336961,1.0,3.0039230008544378,2.325543364597875,1.0,4.32124235157369,-1.0,1.8565984247088057
EP-A,15040.0,234580.16666666666,0.001002840606097259,1.0,6.777974419243137,17.07535640914754,1.0,5.833240755103592,18.382552805095397,101.14000671616992
EP-B,15512.0,178632.16666666666,7.146022555566643e-05,1.0,6.860614502658064,18.363631492893713,1.0,6.2474392560263805,23.837599462225757,155.95551918204063
EP-C,12956.666666666666,231226.6666666667,1.1720749014549595e-05,-1.0,1.0,2.8740726473395717,-1.0,1.0,4.018471311845857,1.0
BT-A,446038.6666666667,50792374.166666664,0.030997590714026014,1.0,3.4986749655569533,19.188064926337322,1.0,2.393960849288876,13.333698779550332,32.030038881743934
BT-B,1442770.6666666667,237193261.6666667,0.024795622629988585,-1.0,-1.0,1.0,-1.0,1.0,5.594456595731901,1.0
BT-C,280126.0,1185811421.8333335,0.02121227381805685,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
FT-A,401358.6666666667,570868219.0,0.22507015673156425,-1.0,1.0,4.342989992043244,-1.0,1.0,3.113203294414039,1.0
