date,app_name,input,cluster,total_time,ru_stime,rs_stime,maxrss,ixrss,idrss,minflt,majflt,nswap,inblock,oublock,msgsnd,msgrcv,nsignals,nvcsw,nivcsw,rxBytes,txBytes,rxPackets,txPackets,pi_5,pi_10,pi_15,total_pi
06-27-21-01:17:0,lammps,C,n1-highcpu-2-16,31.655006,19.227211,11.097986,31500,0,0,5154,0,0,0,16,0,0,0,2168,7940,1271803193,1253038134,514826,452919,1.288042,1.453922,1.587478,1000
06-27-21-01:17:0,lammps,B,n1-highcpu-2-16,2.273751,1.275860,0.418641,26028,0,0,3414,0,0,0,0,0,0,0,2159,2917,89871495,87945432,17203,12395,0.704806,0.790204,0.881308,100
06-27-21-01:17:0,lammps,A,n1-highcpu-2-16,3.385385,1.727756,0.892004,30512,0,0,5198,44,0,5856,0,0,0,0,2259,754,116128822,114303894,38119,33673,1.007891,1.126358,1.264972,100
06-27-21-06:44:4,lammps,C,n1-highcpu-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-06:44:4,lammps,B,n1-highcpu-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-06:44:4,lammps,A,n1-highcpu-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-02:58:0,lammps,C,n1-highcpu-4-16,23.678611,11.527269,10.860929,30300,0,0,4749,0,0,0,16,0,0,0,1909,5182,1191682090,1158466728,722219,662212,1.475364,1.590649,1.693159,1000
06-27-21-02:58:0,lammps,B,n1-highcpu-4-16,1.896941,0.883060,0.545891,26016,0,0,3297,0,0,0,0,0,0,0,1863,503,83005186,79729150,25946,19646,0.675612,0.742727,0.807624,100
06-27-21-02:58:0,lammps,A,n1-highcpu-4-16,3.021676,1.096885,1.405134,30428,0,0,4914,0,0,0,0,0,0,0,1975,550,120308067,117327114,75864,70481,1.156772,1.243202,1.342610,100
06-27-21-04:27:3,lammps,C,n1-highcpu-8-16,24.030444,6.117613,16.711627,30128,0,0,4617,0,0,0,16,0,0,0,2271,3835,1274366315,1213652296,1600732,1512085,2.251057,2.372518,2.475398,1000
06-27-21-04:27:3,lammps,A,n1-highcpu-8-16,3.752806,0.654432,2.450130,30776,0,0,4880,0,0,0,0,0,0,0,2339,442,126520708,120736912,146289,135427,2.002026,2.087672,2.179746,100
06-27-21-04:27:3,lammps,B,n1-highcpu-8-16,1.570666,0.542227,0.570343,27764,0,0,3242,0,0,0,0,0,0,0,2306,266,87461570,80832452,49266,33341,0.650637,0.702220,0.751144,100
