ite,target,bo,name,best
1,0,bo4,picsar-B,7.954954954954955
2,0,bo4,picsar-B,7.954954954954955
3,0,bo4,picsar-B,7.954954954954955
4,0,bo4,picsar-B,7.954954954954955
5,0,bo4,picsar-B,7.954954954954955
6,0,bo4,picsar-B,7.954954954954955
7,0,bo4,picsar-B,7.954954954954955
8,0,bo4,picsar-B,7.954954954954955
9,0,bo4,picsar-B,7.954954954954955
10,0,bo4,picsar-B,7.954954954954955
11,0,bo4,picsar-B,3.81981981981982
12,0,bo4,picsar-B,3.81981981981982
13,0,bo4,picsar-B,3.81981981981982
14,0,bo4,picsar-B,3.81981981981982
15,0,bo4,picsar-B,3.81981981981982
16,0,bo4,picsar-B,3.81981981981982
17,0,bo4,picsar-B,3.81981981981982
18,0,bo4,picsar-B,3.81981981981982
19,0,bo4,picsar-B,3.81981981981982
20,0,bo4,picsar-B,3.81981981981982
21,0,bo4,picsar-B,3.81981981981982
22,0,bo4,picsar-B,3.81981981981982
23,0,bo4,picsar-B,3.81981981981982
24,0,bo4,picsar-B,1.7837837837837835
25,0,bo4,picsar-B,1.7837837837837835
26,0,bo4,picsar-B,1.7837837837837835
27,0,bo4,picsar-B,1.7837837837837835
28,0,bo4,picsar-B,1.7837837837837835
29,0,bo4,picsar-B,1.7837837837837835
30,0,bo4,picsar-B,1.7837837837837835
1,0,bo4,macsio-B,1.0
2,0,bo4,macsio-B,1.0
3,0,bo4,macsio-B,1.0
4,0,bo4,macsio-B,1.0
5,0,bo4,macsio-B,1.0
6,0,bo4,macsio-B,1.0
7,0,bo4,macsio-B,1.0
8,0,bo4,macsio-B,1.0
9,0,bo4,macsio-B,1.0
10,0,bo4,macsio-B,1.0
11,0,bo4,macsio-B,1.0
12,0,bo4,macsio-B,1.0
13,0,bo4,macsio-B,1.0
14,0,bo4,macsio-B,1.0
15,0,bo4,macsio-B,1.0
16,0,bo4,macsio-B,1.0
17,0,bo4,macsio-B,1.0
18,0,bo4,macsio-B,1.0
19,0,bo4,macsio-B,1.0
20,0,bo4,macsio-B,1.0
21,0,bo4,macsio-B,1.0
22,0,bo4,macsio-B,1.0
23,0,bo4,macsio-B,1.0
24,0,bo4,macsio-B,1.0
25,0,bo4,macsio-B,1.0
26,0,bo4,macsio-B,1.0
27,0,bo4,macsio-B,1.0
28,0,bo4,macsio-B,1.0
29,0,bo4,macsio-B,1.0
30,0,bo4,macsio-B,1.0
1,0,bo4,examinimd-C,1.0447436647988626
2,0,bo4,examinimd-C,1.0447436647988626
3,0,bo4,examinimd-C,1.0447436647988626
4,0,bo4,examinimd-C,1.0447436647988626
5,0,bo4,examinimd-C,1.0447436647988626
6,0,bo4,examinimd-C,1.0447436647988626
7,0,bo4,examinimd-C,1.0447436647988626
8,0,bo4,examinimd-C,1.0447436647988626
9,0,bo4,examinimd-C,1.0447436647988626
10,0,bo4,examinimd-C,1.0447436647988626
11,0,bo4,examinimd-C,1.0447436647988626
12,0,bo4,examinimd-C,1.0447436647988626
13,0,bo4,examinimd-C,1.0447436647988626
14,0,bo4,examinimd-C,1.0447436647988626
15,0,bo4,examinimd-C,1.0447436647988626
16,0,bo4,examinimd-C,1.0447436647988626
17,0,bo4,examinimd-C,1.0447436647988626
18,0,bo4,examinimd-C,1.0447436647988626
19,0,bo4,examinimd-C,1.0447436647988626
20,0,bo4,examinimd-C,1.0447436647988626
21,0,bo4,examinimd-C,1.0447436647988626
22,0,bo4,examinimd-C,1.0447436647988626
23,0,bo4,examinimd-C,1.0447436647988626
24,0,bo4,examinimd-C,1.0447436647988626
25,0,bo4,examinimd-C,1.0447436647988626
26,0,bo4,examinimd-C,1.0447436647988626
27,0,bo4,examinimd-C,1.0447436647988626
28,0,bo4,examinimd-C,1.0447436647988626
29,0,bo4,examinimd-C,1.0447436647988626
30,0,bo4,examinimd-C,1.0447436647988626
1,0,bo4,examinimd-A,1.0
2,0,bo4,examinimd-A,1.0
3,0,bo4,examinimd-A,1.0
4,0,bo4,examinimd-A,1.0
5,0,bo4,examinimd-A,1.0
6,0,bo4,examinimd-A,1.0
7,0,bo4,examinimd-A,1.0
8,0,bo4,examinimd-A,1.0
9,0,bo4,examinimd-A,1.0
10,0,bo4,examinimd-A,1.0
11,0,bo4,examinimd-A,1.0
12,0,bo4,examinimd-A,1.0
13,0,bo4,examinimd-A,1.0
14,0,bo4,examinimd-A,1.0
15,0,bo4,examinimd-A,1.0
16,0,bo4,examinimd-A,1.0
17,0,bo4,examinimd-A,1.0
18,0,bo4,examinimd-A,1.0
19,0,bo4,examinimd-A,1.0
20,0,bo4,examinimd-A,1.0
21,0,bo4,examinimd-A,1.0
22,0,bo4,examinimd-A,1.0
23,0,bo4,examinimd-A,1.0
24,0,bo4,examinimd-A,1.0
25,0,bo4,examinimd-A,1.0
26,0,bo4,examinimd-A,1.0
27,0,bo4,examinimd-A,1.0
28,0,bo4,examinimd-A,1.0
29,0,bo4,examinimd-A,1.0
30,0,bo4,examinimd-A,1.0
1,0,bo4,ember-B,1.0
2,0,bo4,ember-B,1.0
3,0,bo4,ember-B,1.0
4,0,bo4,ember-B,1.0
5,0,bo4,ember-B,1.0
6,0,bo4,ember-B,1.0
7,0,bo4,ember-B,1.0
8,0,bo4,ember-B,1.0
9,0,bo4,ember-B,1.0
10,0,bo4,ember-B,1.0
11,0,bo4,ember-B,1.0
12,0,bo4,ember-B,1.0
13,0,bo4,ember-B,1.0
14,0,bo4,ember-B,1.0
15,0,bo4,ember-B,1.0
16,0,bo4,ember-B,1.0
17,0,bo4,ember-B,1.0
18,0,bo4,ember-B,1.0
19,0,bo4,ember-B,1.0
20,0,bo4,ember-B,1.0
21,0,bo4,ember-B,1.0
22,0,bo4,ember-B,1.0
23,0,bo4,ember-B,1.0
24,0,bo4,ember-B,1.0
25,0,bo4,ember-B,1.0
26,0,bo4,ember-B,1.0
