ite,target,bo,name,best
1,0,bo1,EP-C,8.260768871062674e-05
2,0,bo1,EP-C,0.00012243639576753606
3,0,bo1,EP-C,0.0016211758909460497
4,0,bo1,EP-C,0.0022879379498246797
5,0,bo1,EP-C,0.0023661202266400945
6,0,bo1,EP-C,0.0030623850314868053
7,0,bo1,EP-C,0.03707905113268418
8,0,bo1,EP-C,0.03712773066353151
9,0,bo1,EP-C,0.03803789037664681
10,0,bo1,EP-C,0.03844502827100633
11,0,bo1,EP-C,0.03877398388855043
12,0,bo1,EP-C,0.03902180695468231
13,0,bo1,EP-C,0.039228326176458876
14,0,bo1,EP-C,0.039387641004686516
15,0,bo1,EP-C,0.041532490636566
16,0,bo1,EP-C,0.045400300632981415
17,0,bo1,EP-C,0.04551978675415214
18,0,bo1,EP-C,0.06252811980475083
19,0,bo1,EP-C,0.06256647337450934
20,0,bo1,EP-C,0.0627316887519306
21,0,bo1,EP-C,0.06562000758220572
22,0,bo1,EP-C,0.06712612276387625
23,0,bo1,EP-C,0.10114278886507362
24,0,bo1,EP-C,0.10130505396789807
25,0,bo1,EP-C,0.10147026934531933
26,0,bo1,EP-C,0.10159123060378847
27,0,bo1,EP-C,0.10192461163322779
28,0,bo1,EP-C,0.10233912521407933
29,0,bo1,EP-C,0.10304424084271646
30,0,bo1,EP-C,0.10304424084271646
1,0,bo1,BT-A,0.09578489408744026
2,0,bo1,BT-A,0.15262820055630838
3,0,bo1,BT-A,0.3069681192496969
4,0,bo1,BT-A,0.4114542472006276
5,0,bo1,BT-A,0.5244989658369589
6,0,bo1,BT-A,0.6142928464446188
7,0,bo1,BT-A,0.6575850509949361
8,0,bo1,BT-A,0.7213465516011697
9,0,bo1,BT-A,0.7690606946722773
10,0,bo1,BT-A,0.8338206975251409
11,0,bo1,BT-A,2.81812994793524
12,0,bo1,BT-A,2.912559731830825
13,0,bo1,BT-A,3.0159047143570357
14,0,bo1,BT-A,3.0891519863062546
15,0,bo1,BT-A,3.222452036231367
16,0,bo1,BT-A,3.274873404179445
17,0,bo1,BT-A,3.473504029669781
18,0,bo1,BT-A,3.5532415662220953
